Sport,Zone,Session Code,Date,Games Day,Session Description,Start Time,End Time
3x3 Basketball,Valley,BK301,"Sunday, July 16",2,Men's Pool Round (2 Games) Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley,BK302,"Sunday, July 16",2,Men's Pool Round (2 Games) Women's Pool Round (2 Games),17:30,19:30
3x3 Basketball,Valley,BK303,"Sunday, July 16",2,Men's Pool Round (2 Games) Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley,BK304,"Monday, July 17",3,Men's Pool Round (2 Games) Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley,BK305,"Monday, July 17",3,Men's Pool Round (2 Games) Women's Pool Round (2 Games),17:30,19:30
3x3 Basketball,Valley,BK306,"Monday, July 17",3,Men's Pool Round (2 Games) Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley,BK307,"Tuesday, July 18",4,Men's Pool Round (2 Games) Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley,BK308,"Tuesday, July 18",4,Men's Pool Round (2 Games) Women's Pool Round (2 Games),17:30,19:30
3x3 Basketball,Valley,BK309,"Tuesday, July 18",4,Men's Pool Round (2 Games) Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley,BK310,"Wednesday, July 19",5,Men's Pool Round (2 Games) Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley,BK311,"Wednesday, July 19",5,Men's Pool Round (2 Games) Women's Pool Round (2 Games),17:30,19:30
3x3 Basketball,Valley,BK312,"Wednesday, July 19",5,Men's Pool Round (2 Games) Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley,BK313,"Thursday, July 20",6,Men's Pool Round (2 Games) Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley,BK314,"Thursday, July 20",6,Men's Pool Round (2 Games) Women's Pool Round (2 Games),17:30,19:30
3x3 Basketball,Valley,BK315,"Thursday, July 20",6,Men's Pool Round (2 Games) Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley,BK316,"Friday, July 21",7,Men's Play-In (2 Games) Women's Play-In (2 Games),14:00,16:00
3x3 Basketball,Valley,BK317,"Friday, July 21",7,Men's Quarterfinal (2 Games) Women's Quarterfinal (2 Games),17:30,19:30
3x3 Basketball,Valley,BK318,"Friday, July 21",7,Men's Quarterfinal (2 Games) Women's Quarterfinal (2 Games),21:00,23:00
3x3 Basketball,Valley,BK319,"Saturday, July 22",8,Men's Semifinal (2 Games) Women's Semifinal (2 Games),17:00,19:00
3x3 Basketball,Valley,BK320,"Saturday, July 22",8,Men's Bronze Medal Game Women's Bronze Medal Game Men's Gold Medal Game Women's Gold Medal Game,21:00,23:30
Archery,Carson,ARC01,"Wednesday, July 19",5,Not Ticketed Women's Compound Qualification Round Men's Recurve Qualification Round,9:30,12:00
Archery,Carson,ARC02,"Wednesday, July 19",5,Not Ticketed Men's Compound Qualification Round Women's Recurve Qualification Round,13:30,16:30
Archery,Carson,ARC03,"Friday, July 21",7,Compound Mixed Team 1/8 Elimination Round Compound Mixed Team Quarterfinal Compound Mixed Team Semifinal Compound Mixed Team Bronze Medal Match Compound Mixed Team Gold Medal Match,19:30,23:15
Archery,Carson,ARC04,"Saturday, July 22",8,Recurve Men's Individual 1/32 Elimination Round Recurve Women's Individual 1/32 Elimination Round,9:30,12:35
Archery,Carson,ARC05,"Saturday, July 22",8,Recurve Men's Individual 1/32 Elimination Round Recurve Women's Individual 1/32 Elimination Round Recurve Men's Individual 1/16 Elimination Round Recurve Women's Individual 1/16 Elimination Round,20:00,22:35
Archery,Carson,ARC06,"Sunday, July 23",9,Recurve Men's Individual 1/32 Elimination Round Recurve Women's Individual 1/32 Elimination Round Recurve Men's Individual 1/16 Elimination Round Recurve Women's Individual 1/16 Elimination Round,9:30,12:35
Archery,Carson,ARC07,"Sunday, July 23",9,Recurve Men's Individual 1/32 Elimination Round Recurve Women's Individual 1/32 Elimination Round Recurve Men's Individual 1/16 Elimination Round Recurve Women's Individual 1/16 Elimination Round,20:00,22:35
Archery,Carson,ARC08,"Monday, July 24",10,Recurve Women's Individual 1/32 Elimination Round Recurve Women's Individual 1/16 Elimination Round,10:30,12:40
Archery,Carson,ARC09,"Monday, July 24",10,Recurve Men's Team Quarterfinal Recurve Men's Team Semifinal Recurve Men's Team Bronze Medal Match Recurve Men's Team Gold Medal Match,19:30,23:10
Archery,Carson,ARC10,"Tuesday, July 25",11,Recurve Men's Individual 1/32 Elimination Round Recurve Men's Individual 1/16 Elimination Round,10:30,12:40
Archery,Carson,ARC11,"Tuesday, July 25",11,Recurve Women's Team Quarterfinal Recurve Women's Team Semifinal Recurve Women's Team Bronze Medal Match Recurve Women's Team Gold Medal Match,19:30,23:10
Archery,Carson,ARC12,"Wednesday, July 26",12,Recurve Mixed team 1/8 Elimination Round,10:30,13:05
Archery,Carson,ARC13,"Wednesday, July 26",12,Recurve Mixed Team Quarterfinal Recurve Mixed Team Semifinal Recurve Mixed Team Bronze Medal Match Recurve Mixed Team Gold Medal Match,20:00,23:10
Archery,Carson,ARC14,"Thursday, July 27",13,Recurve Men's Individual 1/8 Elimination Round,10:30,12:15
Archery,Carson,ARC15,"Thursday, July 27",13,Recurve Men's Individual Quarterfinal Recurve Men's Individual Semifinal Recurve Men's Individual Bronze Medal Match Recurve Men's Individual Gold Medal Match,20:30,22:50
Archery,Carson,ARC16,"Friday, July 28",14,Recurve Women's Individual 1/8 Elimination Round,9:30,11:15
Archery,Carson,ARC17,"Friday, July 28",14,Recurve Women's Individual Quarterfinal Recurve Women's Individual Semifinal Recurve Women's Individual Bronze Medal Match Recurve Women's Individual Gold Medal Match,20:30,22:50
Artistic Gymnastics,DTLA,GAR01,"Saturday, July 15",1,Men's Qualification 1,11:30,14:00
Artistic Gymnastics,DTLA,GAR02,"Saturday, July 15",1,Men's Qualification 2,15:30,18:00
Artistic Gymnastics,DTLA,GAR03,"Saturday, July 15",1,Men's Qualification 3,19:30,22:00
Artistic Gymnastics,DTLA,GAR04,"Sunday, July 16",2,Women's Qualification 1 and 2,9:45,13:35
Artistic Gymnastics,DTLA,GAR05,"Sunday, July 16",2,Women's Qualification 3,15:05,16:45
Artistic Gymnastics,DTLA,GAR06,"Sunday, July 16",2,Women's Qualification 4,18:15,19:55
Artistic Gymnastics,DTLA,GAR07,"Sunday, July 16",2,Women's Qualification 5,21:25,23:05
Artistic Gymnastics,DTLA,GAR08,"Monday, July 17",3,Men's Team Final,17:15,20:30
Artistic Gymnastics,DTLA,GAR09,"Tuesday, July 18",4,Women's Team Final,18:00,20:30
Artistic Gymnastics,DTLA,GAR10,"Wednesday, July 19",5,Men's All-Around Final,18:00,20:30
Artistic Gymnastics,DTLA,GAR11,"Thursday, July 20",6,Women's All-Around Final,18:00,20:30
Artistic Gymnastics,DTLA,GAR12,"Saturday, July 22",8,Men's/Women's Apparatus Finals,11:30,14:15
Artistic Gymnastics,DTLA,GAR13,"Sunday, July 23",9,Men's/Women's Apparatus Finals,11:00,13:45
Artistic Gymnastics,DTLA,GAR14,"Monday, July 24",10,Men's/Women's Apparatus Finals,11:00,14:30
Artistic Gymnastics,DTLA,GAR15,"Tuesday, July 25",11,Mixed Team Final (Format and Duration Pending FIG Executive Committee Approval),16:00,18:30
Artistic Swimming,Long Beach,SWA01,"Tuesday, July 25",11,Women's Duet Technical,11:00,13:00
Artistic Swimming,Long Beach,SWA02,"Wednesday, July 26",12,Women's Duet Free,11:00,13:15
Artistic Swimming,Long Beach,SWA03,"Thursday, July 27",13,Open Team Technical,11:00,12:30
Artistic Swimming,Long Beach,SWA04,"Friday, July 28",14,Open Team Free,11:00,12:30
Artistic Swimming,Long Beach,SWA05,"Saturday, July 29",15,Open Team Acrobatic,10:45,12:30
Athletics (Track & Field),Exposition Park,ATH01,"Saturday, July 15",1,Women's 100m Preliminary Men's 100m Preliminary Women's Shot Put Qualification A and B Women's 5000m Round 1 Men's Pole Vault Qualification A and B Women's 800m Round 1 Women's Hammer Throw Qualification A and B Women's 100m Round 1 Men's 100m Round 1,9:00,13:30
